Run,Assay Type,AvgSpotLen,BioProject,BioSample,Center Name,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name,Host_Age,host_body_product,host_body_temp,Host_Diet,host_family_relationship,host_growth_cond,host_last_meal,host_life_stage,host_sex,host_taxid,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,perturbation,Platform,ReleaseDate,samp_store_temp,sample_acc,Sample Name,SRA Study,BIOME,collectiondate,env_package,feature,host_common_name,investigation_type,label,material,project_name,samp_mat_process,samp_size,samp_store_dur,specific_host,sub_species,chem_administration,collection_date,env_biome,env_feature,env_material,host
SRR5368781,WGS,768,PRJNA237795,SAMN06627623,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664037,USA: Ames\ IA,41 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow B,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,200_1_feces_mg,SINGLE,RANDOM,METAGENOMIC,89,60,pig gut metagenome,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS2065945,200_1_feces,SRP038757,,,,,,,,,,,,,,,none,5-Jun-12,swine intestinal tract,none,freshly voided feces,Sus scrofa domesticus
SRR5368779,WGS,763,PRJNA237795,SAMN06627624,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664035,USA: Ames\ IA,42 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow B,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,200_2_feces_mg,SINGLE,RANDOM,METAGENOMIC,90,62,pig gut metagenome,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS2065944,200_2_feces,SRP038757,,,,,,,,,,,,,,,none,6-Jun-12,swine intestinal tract,none,freshly voided feces,Sus scrofa domesticus
SRR5368775,WGS,757,PRJNA237795,SAMN06627626,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664031,USA: Ames\ IA,47 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow B,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,200_7_feces_mg,SINGLE,RANDOM,METAGENOMIC,80,56,pig gut metagenome,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS2065942,200_7_feces,SRP038757,,,,,,,,,,,,,,,none,11-Jun-12,swine intestinal tract,none,freshly voided feces,Sus scrofa domesticus
SRR5368903,WGS,739,PRJNA237795,SAMN02645023,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664159,Ames Iowa,35 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow A,ambient,not fasted,grower pig,female,9825,454 GS FLX Titanium,187_5_feces_mg,SINGLE,RANDOM,METAGENOMIC,79,55,gut metagenome,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560599,187_5.sff,SRP038757,swine intestinal tract,5/30/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,187,,,,,,,
SRR5368908,WGS,766,PRJNA237795,SAMN02645017,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664164,Ames Iowa,41 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow A,ambient,not fasted,grower pig,female,9825,454 GS FLX Titanium,187_1_feces_mg,SINGLE,RANDOM,METAGENOMIC,79,54,gut metagenome,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560593,187_1.sff,SRP038757,swine intestinal tract,6/5/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,187,,,,,,,
SRR5368906,WGS,757,PRJNA237795,SAMN02645019,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664162,Ames Iowa,42 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow A,ambient,not fasted,grower pig,female,9825,454 GS FLX Titanium,187_2_feces_mg,SINGLE,RANDOM,METAGENOMIC,48,33,gut metagenome,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560594,187_2.sff,SRP038757,swine intestinal tract,6/6/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,187,,,,,,,
SRR5368900,WGS,751,PRJNA237795,SAMN02645024,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664156,Ames Iowa,47 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow A,ambient,not fasted,grower pig,female,9825,454 GS FLX Titanium,187_7_feces_mg,SINGLE,RANDOM,METAGENOMIC,79,56,gut metagenome,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560598,187_7.sff,SRP038757,swine intestinal tract,6/11/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,187,,,,,,,
SRR5368892,WGS,734,PRJNA237795,SAMN02645035,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664148,Ames Iowa,35 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow A,ambient,not fasted,grower pig,female,9825,454 GS FLX Titanium,188_5_feces_mg,SINGLE,RANDOM,METAGENOMIC,128,89,gut metagenome,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560611,188_5.sff,SRP038757,swine intestinal tract,5/30/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,188,,,,,,,
SRR5368897,WGS,762,PRJNA237795,SAMN02645029,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664153,Ames Iowa,41 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow A,ambient,not fasted,grower pig,female,9825,454 GS FLX Titanium,188_1_feces_mg,SINGLE,RANDOM,METAGENOMIC,146,99,gut metagenome,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560604,188_1.sff,SRP038757,swine intestinal tract,6/5/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,188,,,,,,,
SRR5368895,WGS,753,PRJNA237795,SAMN02645031,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664151,Ames Iowa,42 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow A,ambient,not fasted,grower pig,female,9825,454 GS FLX Titanium,188_2_feces_mg,SINGLE,RANDOM,METAGENOMIC,154,106,gut metagenome,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560606,188_2.sff,SRP038757,swine intestinal tract,6/6/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,188,,,,,,,
